name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,9/23/22,63.4,50.1,56.4,63.4,50.1,56.4,51,82.3,0.001,100,4.17,rain,0,0,16.3,11.5,181.8,1015.3,96.4,16.1,45.8,3.9,2,,2022-09-23T07:27:43,2022-09-23T19:36:52,0.92,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/24/22,60.9,50.2,57.3,60.9,50.2,57.3,52.4,84.6,0.531,100,8.33,rain,0,0,29.8,13.3,24,1013.2,81.8,16.3,35.8,3,3,,2022-09-24T07:29:23,2022-09-24T19:34:30,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/25/22,60.1,45.8,53.1,60.1,43.7,52.6,47.8,83.1,0.028,100,8.33,rain,0,0,17.4,10.2,305.1,1015.1,63.8,22.9,91.7,7.8,6,,2022-09-25T07:31:04,2022-09-25T19:32:08,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/26/22,57.5,51.4,54.4,57.5,51.4,54.4,50.1,85.5,0.064,100,12.5,rain,0,0,39.4,18.7,218.2,1000.1,96.7,17.2,51.8,4.4,5,,2022-09-26T07:32:44,2022-09-26T19:29:46,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/27/22,53,46.7,49.9,53,44.9,49.1,45.8,85.8,0.679,100,16.67,rain,0,0,23.5,10.6,270,997,94.2,20.4,27.4,2.2,2,,2022-09-27T07:34:25,2022-09-27T19:27:25,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/28/22,58.6,45.1,50.6,58.6,42.1,49.2,45.9,85,0.508,100,8.33,rain,0,0,22.4,11,247.5,996.6,80.5,24.1,99.6,8.8,6,,2022-09-28T07:36:06,2022-09-28T19:25:04,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/29/22,60.2,39.7,49.2,60.2,39.7,48.8,44.6,85.7,0.01,100,4.17,rain,0,0,8.9,4.5,141,1002.2,39.6,15.8,148.4,12.8,6,,2022-09-29T07:37:48,2022-09-29T19:22:42,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/30/22,62.4,42.6,53.2,62.4,40.5,53,47,81.1,0.004,100,4.17,rain,0,0,30.2,17.3,191.4,1007.5,69.8,20.3,91.4,7.9,6,,2022-09-30T07:39:29,2022-09-30T19:20:22,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/1/22,62.6,52,57.9,62.6,52,57.9,52,81.5,0.61,100,4.17,rain,0,0,39.4,21.7,238.6,1004,56.8,15,84.3,6.7,5,,2022-10-01T07:41:11,2022-10-01T19:18:01,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/2/22,62.1,52.6,57.4,62.1,52.6,57.4,50.9,79.2,0.026,100,4.17,rain,0,0,23,14.3,281.6,1017.2,56.6,16,65.6,5.1,5,,2022-10-02T07:42:53,2022-10-02T19:15:41,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/3/22,62.3,46.8,54.7,62.3,46.8,54.6,49.6,83.8,0,0,0,,0,0,15.7,7.7,216.3,1026,76.7,18.4,74.2,6.4,5,,2022-10-03T07:44:35,2022-10-03T19:13:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/4/22,64.1,49.3,57.4,64.1,45.7,57.2,51.7,81.8,0,0,0,,0,0,22.4,16.1,193.5,1019.6,89.4,15.5,128.2,11,6,,2022-10-04T07:46:17,2022-10-04T19:11:02,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/5/22,64.3,58.4,61,64.3,58.4,61,53.3,76,0.006,100,4.17,rain,0,0,42.3,24.6,210.3,1013.8,99.4,25.9,30.4,2.2,1,,2022-10-05T07:48:00,2022-10-05T19:08:43,0.34,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/6/22,61.6,50.9,56.8,61.6,50.9,56.8,46.7,69.4,0.03,100,12.5,rain,0,0,26.1,19.9,242.6,1025.9,27.5,20.6,129.4,11.2,6,,2022-10-06T07:49:43,2022-10-06T19:06:24,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/7/22,61.9,49.9,55.8,61.9,46.4,55.6,50,81.3,0,0,0,,0,0,25.7,18.7,202.3,1021.3,66.1,17.2,68.5,5.8,3,,2022-10-07T07:51:26,2022-10-07T19:04:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/8/22,59.8,47.2,54.7,59.8,47.1,54.6,48,78.8,0.036,100,12.5,rain,0,0,22.9,16.8,264.8,1019.9,37.4,20.6,122.4,10.8,6,,2022-10-08T07:53:10,2022-10-08T19:01:49,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/9/22,61,42.7,50.7,61,40.1,49.5,44.1,79.9,0.018,100,4.17,rain,0,0,19.7,12.9,151.4,1021.7,62.1,17.3,134.9,11.7,5,,2022-10-09T07:54:53,2022-10-09T18:59:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/10/22,57.6,46,51.5,57.6,41.8,49.8,46.4,83,0.035,100,16.67,rain,0,0,25.8,14.8,221.7,1015.8,76.9,17.5,57.1,4.9,4,,2022-10-10T07:56:38,2022-10-10T18:57:16,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,10/11/22,60.1,43.1,50.3,60.1,42.3,50,43.9,80.3,0,0,0,,0,0,13.7,9.7,243.2,1025.8,58.3,16.2,75.5,6.5,4,,2022-10-11T07:58:22,2022-10-11T18:55:00,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
